complex_name,confidence,rank1_sdf,min_dist,com_dist,clash_pairs,status
wee1_active_000001,0.18,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000001/rank1_confidence0.18.sdf,2.5636885166168213,8.361295700073242,0,ok
wee1_active_000002,-0.12,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000002/rank1_confidence-0.12.sdf,2.5260748863220215,8.936046600341797,0,ok
wee1_active_000003,-0.13,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000003/rank1_confidence-0.13.sdf,2.7044670581817627,8.507763862609863,0,ok
wee1_active_000004,-0.1,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000004/rank1_confidence-0.10.sdf,2.6569769382476807,8.76181411743164,0,ok
wee1_active_000005,-0.15,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000005/rank1_confidence-0.15.sdf,2.72660493850708,8.58874225616455,0,ok
wee1_active_000006,-0.17,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000006/rank1_confidence-0.17.sdf,2.538743257522583,8.740067481994629,0,ok
wee1_active_000007,-0.3,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000007/rank1_confidence-0.30.sdf,2.486537456512451,9.875027656555176,0,ok
wee1_active_000008,0.4,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000008/rank1_confidence0.40.sdf,2.9110071659088135,8.055960655212402,0,ok
wee1_active_000009,-0.61,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000009/rank1_confidence-0.61.sdf,2.3873746395111084,8.848254203796387,0,ok
wee1_active_000010,-0.65,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000010/rank1_confidence-0.65.sdf,2.485330820083618,9.93239974975586,0,ok
wee1_active_000011,-0.24,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000011/rank1_confidence-0.24.sdf,2.5141754150390625,10.220515251159668,0,ok
wee1_active_000012,0.35,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000012/rank1_confidence0.35.sdf,2.546236038208008,8.985956192016602,0,ok
wee1_active_000013,0.29,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000013/rank1_confidence0.29.sdf,2.729032516479492,8.715439796447754,0,ok
wee1_active_000014,-0.01,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000014/rank1_confidence-0.01.sdf,2.634101152420044,8.854466438293457,0,ok
wee1_active_000015,0.12,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000015/rank1_confidence0.12.sdf,2.471686601638794,8.473435401916504,0,ok
wee1_active_000016,-0.28,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000016/rank1_confidence-0.28.sdf,2.361462116241455,10.393726348876953,0,ok
wee1_active_000017,-0.12,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000017/rank1_confidence-0.12.sdf,2.4548707008361816,10.257131576538086,0,ok
wee1_active_000018,-0.39,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000018/rank1_confidence-0.39.sdf,2.3744869232177734,9.614354133605957,0,ok
wee1_active_000019,-0.04,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000019/rank1_confidence-0.04.sdf,2.3324708938598633,10.27854061126709,0,ok
wee1_active_000020,-0.05,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000020/rank1_confidence-0.05.sdf,2.617952585220337,10.243969917297363,0,ok
wee1_active_000021,0.33,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000021/rank1_confidence0.33.sdf,2.409775972366333,9.075765609741211,0,ok
wee1_active_000022,-0.2,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000022/rank1_confidence-0.20.sdf,2.5598514080047607,9.084433555603027,0,ok
wee1_active_000023,-0.17,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000023/rank1_confidence-0.17.sdf,2.6853907108306885,10.118303298950195,0,ok
wee1_active_000024,-0.14,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000024/rank1_confidence-0.14.sdf,2.6702232360839844,10.335253715515137,0,ok
wee1_active_000025,0.49,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000025/rank1_confidence0.49.sdf,2.718355894088745,9.009865760803223,0,ok
wee1_active_000026,-0.67,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000026/rank1_confidence-0.67.sdf,2.5205910205841064,10.091946601867676,0,ok
wee1_active_000027,-0.59,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000027/rank1_confidence-0.59.sdf,2.3234496116638184,9.779437065124512,0,ok
wee1_active_000028,-0.28,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000028/rank1_confidence-0.28.sdf,2.0145211219787598,10.203832626342773,0,ok
wee1_active_000029,-0.07,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000029/rank1_confidence-0.07.sdf,2.2451119422912598,10.128933906555176,0,ok
wee1_active_000030,-0.28,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000030/rank1_confidence-0.28.sdf,2.09567928314209,10.853250503540039,0,ok
wee1_active_000031,-0.23,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000031/rank1_confidence-0.23.sdf,2.458259105682373,10.201783180236816,0,ok
wee1_active_000032,0.33,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000032/rank1_confidence0.33.sdf,2.7324671745300293,8.925195693969727,0,ok
wee1_active_000033,-0.65,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000033/rank1_confidence-0.65.sdf,2.6436920166015625,10.231772422790527,0,ok
wee1_active_000034,-0.08,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/wee1/results/actives/wee1_active_000034/rank1_confidence-0.08.sdf,2.4657368659973145,10.390015602111816,0,ok
