rank,ligand_id,label,score,ligand_dir,pose_path,status,d_center,d_min_pocket,n_contacts,min_protein_dist,clash_count,pocket_in,pocket_out_strong,clash_flag
1,abl1_decoy_000255,0,0.95,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000255,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000255/rank1_confidence0.95.sdf,ok,1.0260096269695018,2.5121514484600658,53,2.5121514484600658,0,True,False,False
2,abl1_decoy_000622,0,0.88,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000622,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000622/rank1_confidence0.88.sdf,ok,0.5845857451702278,2.5537081332838323,61,2.5537081332838323,0,True,False,False
3,abl1_decoy_005715,0,0.85,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_005715,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_005715/rank1_confidence0.85.sdf,ok,0.7097882095916904,1.9557183360596675,55,1.9557183360596675,1,True,False,False
4,abl1_decoy_000160,0,0.78,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000160,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000160/rank1_confidence0.78.sdf,ok,1.779040518169933,2.638107994377789,45,2.638107994377789,0,True,False,False
5,abl1_active_000240,1,0.76,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000240,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000240/rank1.sdf,ok,1.37789320607273,2.96689660588299,35,2.96689660588299,0,True,False,False
6,abl1_decoy_005716,0,0.73,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_005716,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_005716/rank1_confidence0.73.sdf,ok,0.6998461110924497,2.624699121804249,58,2.624699121804249,0,True,False,False
7,abl1_decoy_008737,0,0.72,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_008737,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_008737/rank1_confidence0.72.sdf,ok,2.993804734028768,2.724635597653382,66,2.724635597653382,0,True,False,False
8,abl1_decoy_000605,0,0.72,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000605,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000605/rank1_confidence0.72.sdf,ok,0.5160189804863851,2.6681388269728386,73,2.6681388269728386,0,True,False,False
9,abl1_active_000199,1,0.67,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000199,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000199/rank1.sdf,ok,1.261449796096008,2.9096746381683283,55,2.9096746381683283,0,True,False,False
10,abl1_active_000286,1,0.66,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000286,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000286/rank1.sdf,ok,0.6471642435900862,2.9112235881154866,53,2.9112235881154866,0,True,False,False
