target,split,ligand_id,success,com_dist_A,pass_2A,confidence,sdf_path
abl1,actives,abl1_active_000001,1,0.7302919530675193,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000001/rank1.sdf
abl1,actives,abl1_active_000002,1,3.235636104973401,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000002/rank1.sdf
abl1,actives,abl1_active_000003,1,3.0786439565192576,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000003/rank1.sdf
abl1,actives,abl1_active_000004,1,3.156977058953853,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000004/rank1.sdf
abl1,actives,abl1_active_000005,1,5.878344566848527,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000005/rank1.sdf
abl1,actives,abl1_active_000006,1,1.2790200714325133,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000006/rank1.sdf
abl1,actives,abl1_active_000007,1,0.6040760315970646,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000007/rank1.sdf
abl1,actives,abl1_active_000008,1,3.6428357390964012,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000008/rank1.sdf
abl1,actives,abl1_active_000009,1,3.680142236501416,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000009/rank1.sdf
abl1,actives,abl1_active_000010,1,0.5352317558880438,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000010/rank1.sdf
abl1,actives,abl1_active_000011,1,1.3583860436847832,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000011/rank1.sdf
abl1,actives,abl1_active_000012,1,18.070400793954153,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000012/rank1.sdf
abl1,actives,abl1_active_000013,1,0.6541692162753067,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000013/rank1.sdf
abl1,actives,abl1_active_000014,1,1.3191593491641087,1,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000014/rank1.sdf
abl1,actives,abl1_active_000015,1,3.4802893510285804,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000015/rank1.sdf
abl1,actives,abl1_active_000016,1,3.5553320114523754,0,,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/actives/abl1_active_000016/rank1.sdf
