complex_name,confidence,rank1_sdf,min_dist,com_dist,clash_pairs,status
abl1_decoy_000001,-0.49,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000001/rank1_confidence-0.49.sdf,1.8848872184753418,11.678288459777832,0,ok
abl1_decoy_000002,-0.83,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000002/rank1_confidence-0.83.sdf,1.7727316617965698,9.25576400756836,0,ok
abl1_decoy_000003,-1.09,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000003/rank1_confidence-1.09.sdf,1.1566619873046875,14.07191276550293,0,ok
abl1_decoy_000004,-0.07,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000004/rank1_confidence-0.07.sdf,1.7986418008804321,9.9835786819458,0,ok
abl1_decoy_000005,-0.61,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000005/rank1_confidence-0.61.sdf,2.0187904834747314,10.314715385437012,0,ok
abl1_decoy_000006,-0.71,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000006/rank1_confidence-0.71.sdf,1.9852453470230103,9.49038028717041,0,ok
abl1_decoy_000007,-2.84,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000007/rank1_confidence-2.84.sdf,1.7372519969940186,20.71792984008789,0,ok
abl1_decoy_000008,-0.05,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000008/rank1_confidence-0.05.sdf,2.064882755279541,8.807257652282715,0,ok
abl1_decoy_000009,-0.95,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000009/rank1_confidence-0.95.sdf,1.171540379524231,8.434947967529297,0,ok
abl1_decoy_000010,-2.47,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000010/rank1_confidence-2.47.sdf,0.731846272945404,19.504518508911133,3,ok
abl1_decoy_000011,-0.77,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000011/rank1_confidence-0.77.sdf,2.6155974864959717,13.359691619873047,0,ok
abl1_decoy_000012,-1.07,/home/deepfold/users/hosung/dataset/DUD-E/dude_raw/abl1/results/decoys/abl1_decoy_000012/rank1_confidence-1.07.sdf,2.8436036109924316,14.933820724487305,0,ok
